nombre;codigo;;
OMAR TORRIJOS;1307;;
EL DIAMANTE;1308;;
LLERAS RESTREPO;1309;;
VILLA DEL LAGO;1310;;
LOS ROBLES;1311;;
RODRIGO LARA BONILLA;1312;;
CHARCO AZUL;1313;;
VILLA BLANCA;1314;;
CALIPSO;1315;;
NUEVO HORIZONTE;1316;;
BELISARIO BETANCURT;1317;;
YIRA CASTRO;1390;;
LLERAS-CINTALARGA;1393;;
MARROQUIN III;1394;;
LOS LAGOS;1395;;
SECTOR LAGUNA DEL PONDAJE;1397;;
EL PONDAJE;1398;;
SECTOR ASPROSOCIAL-DIAMANTE;1399;;
ALFOSO BONILLA ARAGON;1401;;
ALIRIO MORA BELTRAN;1402;;
MANUELA BELTRAN;1403;;
LAS ORQUIDEAS;1404;;
JOSE MANUEL MARROQUIN I ETAPA;1406;;
MARROQUIN II ETAPA;1407;;
VILLA SAN MARCOS;1408;;
PUERTA DEL SOL;1495;;
LOS NARANJOS;1496;;
PROMOCIONES POPULARES B;1498;;
LOS COMUNEROS I ETAPA;1502;;
LAUREANO GOMEZ;1503;;
EL VALLADO;1504;;
MORICHAL-COMFANDI;1505;;
INURVE;1506;;
TAIRONA;1507;;
CIUDAD CORDOBA;1596;;
MOJICA;1598;;
BAJOS CIUDAD CORDOBA;1599;;
MARIANO RAMOS;1601;;
REPUBLICA DE ISRAEL;1602;;
UNION DE VIVIENDA POPULAR;1603;;
BRISAS DEL LIMONAR;1605;;
PORTAL DE SAJONIA;1610;;
ZONA DE RESERVA AGRICOLA;1696;;
CIUDAD 2OOO;1697;;
LA ALBORADA;1698;;
LA PLAYA;1701;;
CIUDADELA COMFANDI;1703;;
URBANIZACION CIUDAD JARDIN;1704;;
CIUDAD UNIVERSITARIA;1705;;
CLUB CAMPESTRE;1706;;
VILLAS DE GUADALUPE;1707;;
SAMANES DE GUADALUPE;1708;;
BLOQUES DEL LIMONAR;1710;;
CIUDADELA EL BOSQUE;1711;;
CANEY;1774;;
LILI;1775;;
SANTA ANITA-LA SELVA;1778;;
EL INGENIO;1780;;
MAPAYAN LAS VEGAS;1781;;
LAS QUINTAS DE DON SIMON;1782;;
CIUDAD CAPRI;1783;;
LA HACIENDA;1784;;
LOS PORTALES-NUEVO REY;1785;;
CA—AVERALES-LOS SAMANES;1786;;
BOSQUES DEL LIMONAR;1788;;
EL GRAN LIMONAR-CATAYA;1789;;
EL GRAN LIMONAR;1790;;
UNICENTRO CALI;1791;;
PARCELACIONES PANCE;1792;;
CIUDADELA PASOANCHO;1793;;
PRADOS DEL LIMONAR;1794;;
URBANIZACION SAN JOAQUIN;1796;;
URBANIZACION RIO LILI;1797;;
LAS CAMELIAS;1798;;
MELENDEZ;1804;;
LOS FARALLONES;1805;;
FRANCISCO ELADIO RAMIREZ;1807;;
PRADOS DEL SUR;1808;;
HORIZONTES;1809;;
MARIO CORREA RENGIFO;1810;;
COLINA DEL SUR;1812;;
ALFEREZ REAL;1813;;
NAPOLES;1814;;
EL JORDAN;1815;;
CUARTELES NAPOLES;1816;;
CATALINA;1817;;
ALTO NAPOLES-BUITRERA;1893;;
SECTOR MELEDEZ;1896;;
SECTOR ALTO JORDAN;1897;;
ALTO NAPOLES;1898;;
LA CASCADA;1902;;
EL LIDO;1903;;
URBANIZACION TEQUENDAMA;1904;;
SAN FERNANDO NUEVO;1906;;
URBANIZACION NUEVA GRANADA;1907;;
SAN FERNANDO VIEJO;1910;;
3 DE JULIO;1912;;
EL CEDRO;1913;;
CHAMPAG—AT;1914;;
URBANIZACION COLSEGUROS;1915;;
EL MORTI—AL;1917;;
URBANIZACION MILITAR;1918;;
CUARTO DE LEGUA-GUADALUPE;1919;;
U DEP PANAMERICANA-ANT HIPDR;1920;;
EL TEMPLETE;1921;;
URBANIZACION NIZA;1922;;
RIVERAS DEL RIO;1923;;
SECTOR LOS MANGOS;1980;;
TEJARES - CRISTALES;1983;;
UNIDAD RES SANTIAGO DE CALI;1984;;
UNIDAD RESIDENCIAL EL COLISEO;1985;;
NUEVA TEQUENDAMA;1987;;
CA—AVERALEJO-SEGUROS PATRIA;1988;;
CAMINO REAL J BORRERO S;1989;;
CAMINO REAL- LOS FUNDADORES;1990;;
SECTOR LA LUISA;1991;;
CA—AVERAL-BELLA SUIZA;1992;;
SEMINARIO;1993;;
PAMPA LINDA;1994;;
SECTOR CA—AVERALEJO GUADALUPE;1995;;
SECTOR LA SIRENA;1996;;
SECTOR BOSQUE MUNICIPAL;1997;;
U DEP A GALINDO-PLAZA DE TOROS;1999;;
EL CORTIJO;2001;;
BELISARIO CAICEDO;2002;;
SILOE;2003;;
LLERAS CAMARGO;2004;;
BRISAS DE MAYO;2006;;
TIERRA BLANCA;2007;;
VENEZUELA-URB CA—AVERALEJO;2098;;
PARCELACION MONACO-LA SULTANA;2099;;
LIDERES;2102;;
REMANSO DE CONFAMDI;2103;;
SANTIAGO DE CALI;2104;;
PIZAMOS;2105;;
CIUDADELA DEL RIO;2106;;
CALIMIO-DESEPAZ;2107;;
SOL DE ORIENTE;2108;;
TALANGA;2133;;
DESEPAZ;2146;;
URBANIZACION GUALANDAY;2150;;
VILLA LUZ;2175;;
CIUDADELA INVICALI;2190;;
COMPARTIR;2194;;
NAVARRO(MORGAN);5101;;
EL BASURO;5102;;
EL ESTERO;5103;;
EL HORMIGUERO;5201;;
MORGAN;5202;;
LA PAILA;5203;;
LA PAILITA;5204;;
VALLE DEL LILI;5205;;
PIEDRA GRANDE;5207;;
CAUCA SECO;5208;;
EL BOQUERON;5209;;
BRISAS DEL CAUCA;5210;;
CAUCA VIEJO;5212;;
PARCELACIONES ZONA PLANA;5299;;
LA VORAGINE;5301;;
PANCE;5302;;
EL TRUENO;5305;;
LA VIGA;5307;;
EL PATO;5308;;
EL TOPACIO;5310;;
EL BANQUEO;5313;;
EL BANCO;5315;;
PICO AGUILA;5319;;
PARCELACIONES CERRO;5398;;
EL CRUCERO;5402;;
ALTO POLVORINES;5404;;
LOS CERROS;5406;;
LA RIVERITA;5410;;
EL OTO—O;5413;;
LOMA LINDA;5415;;
ANCHICAYA;5416;;
ALTO LOS CHORROS;5495;;
ALTO MELENDEZ;5496;;
PARCELACIONES CERROS;5497;;
ALTO EL CERRO DE LA BANDERA;5498;;
PARCELA C CERROS CA—AVERALEJO;5499;;
LA SIRENA;5501;;
LA FONDA;5502;;
VILLACARMELO;5503;;
ALTO DE IGLESIAS;5504;;
EL CARMELO (EL CARMEN);5505;;
LA CANDELARIA;5507;;
EL MINUTO;5508;AMPARO;
SECTOR CA—AVERALEJO SUR;5599;;
EL FARO;5601;;
ALTOS DEL BOSQUE;5604;;
EL MAMEYAL;5606;;
EL CABUYAL;5607;;
VENTILADORES;5608;;
QUEBRADA HONDA;5609;;
LA TULIA;5610;;
LA REFORMA;5611;;
LOS MANGOS;5612;;
ALTO DE LOS MANGOS;5613;;
CARPATOS;5614;;
BRISAS DE LOS CRISTALES;5615;;
SECTOR CA—AVERALEJO NORTE;5697;;
SECTOR CRISTO REY BAJO;5698;;
SECTOR CRISTO REY ALTO;5699;;
PICHINDE;5701;;
PE—AS BLANCAS;5702;;
LA LEONORA;5801;;
LOMA DE LA CAJITA;5802;;
LOMA DE LA CAJA;5803;;
PAJUIL;5804;;
LA ASCENCION;5901;;
FELIDIA;5904;;
EL CEDRAL;5906;;
CABA—AS DE CARVAJAL;5907;;
SALADITO;6001;;
LA ORQUETA;6004;;
MONTA—ITAS;6005;;
KILOMETRO 1O;6006;;
KILOMETRO 11;6007;;
VUELTA DEL CEREZO;6008;;
EL PALOMAR;6009;;
EL LIBANO;6010;;
ALTO DE LAS CRUCES;6011;;
ALTO AGUACATAL;6104;;
KILOMETRO 18 (VIA AL MAR );6105;;
EL AGUACATAL;6106;;
LA CASTILLA;6201;;
PARTE ALTA DEL RIO AGUACATAL;6202;;
LIMONES;6204;;
BOSQUE CERRO MARROQUIN;6205;;
BAJO AGUACATAL;6207;;
LOMITAS;6303;;
COMUNEROS;6371;;
GUACAS;6402;;
GOLONDRINAS;6501;;
EL FILO;6502;;
FRAGUA;6504;;
SECTOR TRES CRUCES ALTOS;6598;;
SECTOR TRES CRUCES BAJOS;6599;;
EL MOLINO;8001;;
LA REVOLUCION;8002;;
SANTIAGO VERGARA CRESPO;8003;;
ALTO BONITO;8004;;
URBANIZACION SAN VICENTE;8006;;
URBANIZACION CLUB DE LEONES;8007;;
URBANIZACION ALTO DEL GUADALAJARA I;8008;;
URBANIZACION ALTO DEL GUADALAJARA II;8009;;
URBANIZACION LOS ALMENDROS;8010;;
URBANIZACION ALTAMIRA;8011;;
FUENMAYOR;8015;;
URBANIZACION BELLO HORIZONTE;8016;;
URBANIZACION COOVIPROF;8017;;
URBANIZACION LAS PALMITAS;8018;;
EL DIVINO NI—O;8019;;
PALOBLANCO;8021;;
URBANIZACION LA CONCORDIA;8023;;
URBANIZACION VALLE REAL;8024;;
RICAURTE;8025;;
JOSE MARIA CABAL;8026;;
AURES;8029;;
URBANIZACION PRADOS DE LA JULIA;8030;;
URBANIZACION PRADOS DEL SUR;8031;;
URBANIZACION PORTALES DEL RIO;8032;;
URBANIZACION SANTA RITA;8033;;
LA VENTURA;8034;;
MARIA LUISA DE LA ESPADA;8036;;
LA HONDA;8039;;
URBANIZACION CARACOLI;8041;;
URBANIZACION LOS ROSALES;8042;;
URBANIZACION EL EDEN;8043;;
URBANIZACION BALBOA;8044;;
URBANIZACION CIUDADELA COMFENALCO;8045;;
EL CARMELO;8047;;
STAMBUL;8048;;
EL ALBERGUE;8049;;
LA GERENCIA;8050;;
LAS CARMELITAS;8051;;
LA CAMELIA;8052;;
LA CIUDADELA;8054;;
EL RECREO;8059;;
LOS FUNDADORES;8060;;
DANIEL GUTIERREZ Y ARANGO;8061;;
VALLE DEL CAUCA;8062;;
MARIA INMACULADA;8063;;
ZU—IGA;8064;;
ORTEZ;8065;;
BRISAS DEL RIO;8066;;
LA PLATANERA;8068;;
LOS ALPES;8070;;
CONDOMINIO LA MILAGROSA;8072;;
URBANIZACION SAN FRANCISCO;8073;;
LA ARENERA;8074;;
COLLAREJO;8076;;
URBANIZACION SAN FERNANDO;8078;;
CHAVARRIAGA WILKIN;8081;;
EL CAMELLON DEL QUINDIO;8082;;
URBANIZACION BELLAVISTA;8084;;
VERACRUZ;8085;;
EL POLO;8086;;
