nombre;codigo;;
URBANIZACION SAMANES DE LA MERCED;8424;;
URBANIZACION ALMENARES DE LA MERCED;8425;;
SANTA MARIA DEL PALMAR;8426;;
URBANIZACION CAMPESTRE;8427;;
PORTAL DE LAS PALMAS;8428;;
URBANIZACION LLANOGRANDE;8429;;
URBANIZACION DEPARTAMENTAL;8430;;
URBANIZACION PARQUE DE LA MERCED;8431;;
URBANIZACION PLAZUELA DE LA MERCED;8432;;
VILLA DE CA—A MIEL;8433;;
POBLADO DE CONFAUNION;8434;;
ALTAMIRA;8435;;
FRAY LUIS AMIGO;8436;;
PRADO;8437;;
URBANIZACION SANTA ANA;8438;;
EMILIA;8439;;
LA CONCORDIA;8440;;
LLANOGRANDE;8441;;
ACACIAS;8442;;
POMONA;8443;;
BRISAS DEL BOLO;8444;;
SANTA BARBARA;8445;;
RIVERA ESCOBAR;8446;;
OLIMPICO;8447;;
URBANIZACION VILLA DE LAS PALMAS;8448;;
URBANIZACION BOSQUES DE SANTA BARBARA;8449;;
CASAS DE ALICANTO;8450;;
LORETO;8452;;
ALFONSO LOPEZ;8453;;
COLOMBIA;8454;;
SANTA RITA;8455;;
OBRERO;8456;;
SAN CAYETANO;8457;;
BIZERTA;8458;;
URIBE URIBE;8459;;
URBANIZACION PRADOS DE ORIENTE;8460;;
SAN PEDRO;8461;;
PROVIDENCIA;8463;;
LIBERTAD;8464;;
CAMPESTRE;8465;;
DANUBIO;8467;;
JOSE ANTONIO GALAN;8470;;
PALMERAS;8471;;
MARIA CANO;8472;;
POPULAR MODELO;8473;;
LOS SAUCES;8475;;
URBANIZACION 7 DE AGOSTO;8476;;
URBANIZACION EL JARDIN;8477;;
URBANIZACION EL BOSQUE BOSQUE;8478;;
PALMERAS DEL ORIENTE;8479;;
PALMERAS DE MARSELLA;8480;;
URBANIZACION BUENOS AIRES;8481;;
OTROS EL RETIRO;8482;;
LA ALAMEDA;8483;;
ZONA DE RESERVA;8484;;
URBANIZACION LA ESTRELLA;8485;;
CENTRAL;8486;;
LA TRINIDAD;8487;;
COLOMBINA;8488;;
LIBERTADORES;8489;;
FATIMA;8490;;
TRIUNFO;8491;;
CAICELANDIA;8492;;
URBANIZACION LAS FLORES;8493;;
URBANIZACION EL PARAISO;8494;;
CIUDADELA PALMIRA;8495;;
LUIS CARLOS GALAN;8496;;
BARRIO NUEVO;8497;;
RECREO;8499;;
SANTA CLARA;8500;;
URBANIZACION PETRUC;8501;;
URBANIZACION LAS AMERICAS;8502;;
ROZO;8503;;
LA TORRE;8504;;
LA ACEQUIA;8505;;
MATAPALO;8506;;
OBANDO;8507;;
LA HERRADURA;8508;;
PALMASECA;8509;;
CORONADO (RURAL);8510;;
ZAMORANO (RURAL);8511;;
LA DOLORES;8512;;
GUANABANAL;8513;;
CAUCASECO;8514;;
JUANCHITO;8515;;
BOLO SAN ISIDRO;8516;;
BOLO LA ITALIA;8517;;
BOLO ALIZAL;8518;;
NUEVO;8519;;
AMAIME;8520;;
BOYACA;8521;;
LA PAMPA;8522;;
CHAPINERO;8524;;
URBANIZACION GUAYACANES;8525;;
SESQUICENTENARIO;8526;;
LAS VICTORIAS;8527;;
URBANIZACION EL TREBOL;8528;;
URBANIZACION PORTALES DEL RECREO;8529;;
URBANIZACION LOS ROBLES;8530;;
GUAYACANES DEL INGENIO;8531;;
URBANIZACION LA PALMIRA;8532;;
URBANIZACION ALTOS DE MARANDUA;8533;;
TABLONES;8534;;
TIENDA NUEVA;8535;;
BARRANCAS;8537;;
AGUACLARA;8538;;
LA ZAPATA;8539;;
AYACUCHO;8540;;
COMBIA;8541;;
TOCHE;8542;;
POTRERILLO;8543;;
CALUCE;8544;;
TENJO;8545;;
BOSQUES DE MARACAIBO;8546;;
MARACAIBO;8547;;
LA GRACIELA;8549;;
RIO PAILA;8550;;
PORTALES DEL RIO;8551;;
URBANIZACION LA VILLA;8552;;
SANTA LUCIA;8553;;
NUEVO MORALES;8554;;
VILLA DEL SUR;8555;;
TULUA 35O A—OS;8556;;
VILLA LILIANA;8557;;
URBANIZACION LUSITANIA;8558;;
URBANIZACION MARANDUA;8559;;
NUEVO FARFAN;8560;;
EL DESCANSO;8561;;
POPULAR;8562;;
LAURELES ETAPA I;8563;;
LAURELES ETAPA II;8564;;
LOS TOLUES;8565;;
LA QUINTA;8566;;
ASOAGRIN FARFAN;8567;;
ROJAS;8568;;
VILLA COLOMBIA;8569;;
LA SANTACRUZ;8570;;
SAN PEDRO CLAVER;8573;;
LAS VERANERAS;8574;;
FARFAN;8575;;
PORVENIR;8579;;
AMERICANA DE VIVIENDA ETAPA I;8580;;
CHIMINANGOS;8581;;
RUBEN CRUZ VELEZ;8582;;
EL RETIRO;8585;;
VILLA DEL RIO;8586;;
SAN VICENTE DE PAUL;8588;;
FRANCISCANOS;8589;;
ALVERNIA;8590;;
CESPEDES;8591;;
NUEVO ALVERNIA;8592;;
ENTRE RIOS;8593;;
URBANIZACION LA RIVERA;8594;;
EL CONDOR;8596;;
SANTA RITA DEL RIO;8597;;
LAS OLAS;8598;;
ESCOBAR;8599;;
PALOBONITO;8600;;
SAJONIA;8601;;
SALESIANOS;8602;;
LA MERCED;8603;;
LAS ACACIAS;8604;;
LUSITANIA;8605;;
12 DE OCTUBRE;8606;;
EL PRINCIPE;8607;;
EL LAGO;8609;;
EL LAGUITO;8610;;
LA ESPERANZA;8611;;
LAS DELICIAS;8612;;
LA CEIBA;8613;;
EL PINAR;8614;;
JUAN DE LEMUS AGUIRRE;8615;;
DEPARTAMENTAL;8616;;
PRADOS DEL NORTE;8618;;
LOS OLMOS;8619;;
AMERICANA DE VIVIENDA ETAPA II;8620;;
HORIZONTE;8621;;
EL REFUGIO;8624;;
SAMAN DEL NORTE;8627;;
INTERNACIONAL;8628;;
EL PALMAR;8629;;
EL BOSQUESITO;8630;;
ALAMEDA ETAPA I;8632;;
ALAMEDA ETAPA II;8633;;
7 DE AGOSTO;8634;;
PROGRESAR;8635;;
PUEBLO NUEVO;8636;;
TOMAS URIBE URIBE;8637;;
SAN ANTONIO;8638;;
LAS BRISAS;8639;;
EL BOSQUE;8640;;
EL LIMONAR;8641;;
VILLANUEVA;8643;;
ESTAMBUL;8644;;
MORALES;8645;;
EL JAZMIN;8646;;
AVENIDA CALI;8647;;
LA BASTILLA;8648;;
PLAYAS;8649;;
VICTORIA;8650;;
CIUDAD CAMPESTRE;8651;;
VILLA CAMPESTRE;8652;;
CASA HUERTAS;8653;;
EL CENTRO;8654;;
EL CHILICOTE;8655;;
LAS NIEVES;8656;;
LAS AMERICAS;8659;;
ALTO SAN JORGE;8660;;
SAN JORGE BAJO;8662;;
PANORAMA;8663;;
LA ESTANCIA;8664;;
BELALCAZAR;8665;;
BOLIVAR;8666;;
URIBE;8667;;
FRAY PE—A MANUEL;8668;;
COMFANDI;8669;;
BUENOS AIRES;8670;;
CRUCES;8671;;
SAN FERNANDO;8672;;
NUEVO H;8673;;
PEDREGAL;8674;;
TRINIDAD ETAPA I;8675;;
TRINIDAD ETAPA II;8676;;
GUACANDA;8677;;
DIONISIO H. CALDERON;8678;;
LAS VEGAS;8679;;
MADRIGAL;8680;;
LLERAS;8681;;
FLORAL;8684;;
CARLOS P. GOMEZ;8686;;
INVIYUMBO LLERAS;8687;;
ARROYOHONDO;8688;;
LA RIVERA;8689;;
XIXAOLA;8690;;
PILES DAPA;8691;;
MIRAVALLE DAPA;8692;;
RINCON DAPA;8693;;
MEDIO DAPA;8694;;
ALTO DAPA;8695;;
LAS FLECHAS;8696;;
CORREGIMIENTO EL PEDREGAL;8697;;
FILO Y LAGUNA;8698;;
LA BUITRERA;8699;;
LA OLGA;8700;;
TELECOM;8701;;
EL PLACER;8702;;
MULALO;8703;;
MULALO BAJO;8704;;
PLATANARES;8705;;
BOLIVARIANO;8706;;
GENERAL SANTANDER;8707;;
VILLAS DE QUILICHAO;8708;;
LA CORONA ETAPA II;8709;;
LOS GUADUALES;8710;;
EL LIBERTADOR;8711;;
LA CORONA ETAPA I;8715;;
SANTA ANITA ETAPA III;8717;;
SANTA ANITA ETAPA II;8718;;
SANTA ANITA ETAPA I;8719;;
OLAYA HERRERA;8720;;
LA JOYITA;8723;;
NI—O JESUS DE PRAGA;8724;;
EL DORADO ETAPA II;8725;;
LA VICTORIA;8726;;
EL DORADO ETAPA I;8727;;
SAN JOSE;8728;;
MORALES DUQUE;8729;;
CIUDAD MODELO;8730;;
MORINDA;8731;;
BELEN;8732;;
EL ARROYO;8733;;
LOURDES;8734;;
EL CANALON;8736;;
URBANIZACION BETANIA;8738;;
PORVENIR ETAPA I;8740;;
PORVENIR ETAPA II;8741;;
PORVENIR ETAPA III;8742;;
NARI—O;8744;;
URBANIZACION NISA;8748;;
BAJO BUENOS AIRES;8749;;
DIANA MARIA;8752;;
EL COCLI;8754;;
EL GUAMAL;8755;;
EL QUINDIO;8757;;
GONZALO ECHEVERRI;8758;;
GUADUALITO;8759;;
LA BALVARENA;8760;;
LA DELFINA;8761;;
LA ISABELITA;8764;;
LIBRAIDA;8766;;
PAMMA;8769;;
V CENTENARIO;8773;;
ZARZALITO;8774;;
LA ZULIA;8776;;
RIVERAS DE YUMBO;8778;;
LOPEZ;8785;;
RIO FRAYLE;8786;;
MONCALENO;8787;;
ABSALON FAJARDO;8788;;
MARIA AUXILIADORA;8791;;
EL DINAMO;8792;;
CIUDAD SUR;8796;;
PORTAL DE JAMUNDI;8797;;
SACHAMATE;8800;;
PORTALES DEL JORDAN;8803;;
JOSE MARIA BARBOSA;8804;;
HACIENDA EL LLANO;8805;;
ROSARIO;8812;;
MONSERRATE;8815;;
EL CADILLAL;8816;;
COLOMBIA I - ETAPA;8818;;
UNIDOS;8821;;
BETANIA;8823;;
LUIS A. ROBLES;8824;;
CALLE LAS FLORES;8829;;
URBANIZACION LA FRONTERA;8835;;
KENEDY;8836;;
ASOPROVICO;8842;;
LAS ALMEIDAS;8843;;
SE—OR DE LAS COLUMNAS;8844;;
FRAY BARTOLOME;8847;;
GALAN;8851;;
COLINAS DEL NORTE;8852;;
ZARAGOCILLA;8853;;
SUMATAMBO;8856;;
IANE;8857;;
EL ARENILLO;8858;;
EL CAIRO;8862;;
DOS QUEBRADAS;8866;;
GUAYACANES I;8868;;
CALLEJON BOLERO;8869;;
VILLA DEL SAMAN;8879;;
LA ORLIDIA;8880;;
LOS CEDROS;8882;;
POBLADO CAMPESTRE;8892;;
ANGEL MARIA CAMACHO;8896;;
VILLA MONICA;8897;;
CIRO VELAZCO;8898;;
LA PRADERA;8899;;
VILLA ESTELA;8900;;
SINDICAL II;8904;;
GUAYACANES DEL RIO;8906;;
EL RETIRO ALTO;8907;;
EL GUAYABAL;8908;;
SANTA INES;8909;;
JORGE ELIECES GAITAN;8910;;
CARLOS LLERAS RESTREPO;8913;;
LA ELVIRA;8915;;
LEOPOLDO PIZARRO;8916;;
EL ATILLO;8921;;
EL TEJAR;8924;;
PUENTES LAS FLORES;8925;;
PUENTE MARQUEZ;8926;;
CATORCE DE AGOSTO;8932;;
VILLA DOCENTE;8938;;
CHIQUINQUIRA;8940;;
JORGE ELICER GAITAN;8941;;
LOS MARMOLES;8943;;
CABA—A;8944;;
ASNAZU;8949;;
QUINTAS ZAMORANO;8951;;
JOSE HILARIO LOPEZ;8952;;
BELLOHORIZONTE;8955;;
GOLGOTA;8956;;
CONDOMINIO ENTRE RIOS;8960;;
LOMO DE PIEDRA;8961;;
PAJONAL;8962;;
EL FRIJOL;8963;;
LA CHAZA;8965;;
SAGRADO CORAZON DE JESUS;8966;;
EL CANEY;8968;;
PUEBLITO VIEJO;8972;;
VIRREY;8975;;
LA LOMA;8976;;
ALCAZARES;8983;;
SANTA LIBRADA;8986;;
VARGAS;8991;;
INGENIO PROVIDENCIA;8992;;
SAUCES III;8994;;
LA SOLEDAD;8996;;
ORIENTAL;8997;;
PILOTO;9000;;
SE—OR DE LA MISERICORDIA;9002;;
URBANIZACION ALCALA;9003;;
ALAMOS;9005;;
PANAM;9006;;
LA ALEGRIA;9008;;
CAMBULOS;9009;;
EL ALTO;9019;;
POLICARPA;9023;;
LA TIZA;9025;;
LUIS AVELINO PEREZ;9027;;
HIPODROMO;9028;;
SAN RAFAEL;9029;;
ALTO DEL CASTILLO;9030;;
GINEBRA CENTRO;9034;;
SAN SEBASTIAN;9041;;
URB PACO HOYOS II;9042;;
LA LOMITA;9044;;
CALLE NUEVA CREACION;9050;;
TEQUENDAMA;9053;;
LA FLORIDA;9054;;
LA ASUNCION;9056;;
VILLA ADRIANA MARIA;9057;;
LA YE;9058;;
PORTALES DE COMFANDI;9060;;
PACARA;9062;;
LIMONAR;9065;;
HERNANDO GOMEZ;9066;;
COOINCER;9067;;
LA CAROLINA;9068;;
EL INSTITUTO;9069;;
ROBLES;9070;;
VILLA NANCY;9072;;
LOS PEREZ;9074;;
CALLE CORDOBA;9076;;
BRISAS DEL ROSARIO;9079;;
EL CAIRIO;9080;;
NI—O DIOS;9081;;
LA SULTANA;9082;;
LAS FERIAS;9084;;
MINUTO DE DIOS;9085;;
NUEVA ALIANZA;9091;;
LA PROMESA;9093;;
CANGREJO;9094;;
JORGE ROBLEDO;9095;;
LA LUCHA;9096;;
AVENIDA BOLIVAR;9097;;
PROGRESO;9100;;
MARILUZ I;9101;;
SONADORA;9102;;
POTRERITO;9109;;
PANDIACO;9110;;
LA PAILERIA;9112;;
CABAL MOLINA;9115;;
LA ERMITA;9119;;
CORVIVALLE;9120;;
ULLOA;9123;;
AGUALONGO;9124;;
LA MISERICORDIA;9127;;
LA MANCION;9128;;
RIOVISTA;9129;;
INGENIO DEL CAUCA;9130;;
LAS CAMIAS;9131;;
ZONA CENTRO;9135;;
CHONTADURO;9136;;
COFAVI;9138;;
GRAN COLOMBIA;9140;;
JESUS NAZARENO;9141;;
LAGOS DE SUBA;9143;;
MIRANDELA;9144;;
LOS TANQUES;9145;;
CIUDADELA DON PACO;9146;;
LA PISTA;9147;;
EL EDEN;9148;;
CARLOS PRIMERO;9149;;
TAMASAGRA;9150;;
URBANIZACION DO—A EMMA;9159;;
PE—A BLANCA;9160;;
CRUZ ROJA;9163;;
LAS DOS AGUAS;9166;;
VILLA ANDREA;9167;;
NAYITA;9169;;
CUARTO CENTENARIO;9173;;
PORTAL DE SABANA;9176;;
LA ADRIANITA;9179;;
UNION;9180;;
MOROCHILLO;9181;;
SAN IGNACIO;9182;;
MANUEL ESCOBAR;9187;;
SAN FERNADO;9190;;
LORENZO;9192;;
VILLARRICA;9195;;
PROVIVIENDA;9196;;
FLAMENCO;9200;;
DIAMANTE;9202;;
ALVARO H CAICEDO;9203;;
CINCUENTENARIO;9206;;
EL COLORADO;9207;;
DIEGO RENGIFO;9208;;
PUYANA;9209;;
QUINTAS DE JOSE MIGUEL;9211;;
LA NUEVA ERMITA;9213;;
EL ZAMAN;9214;;
COLINA CAMPESTRE;9215;;
SAN FRANCISCO DE ASIS;9217;;
ALTOS DE LA COLINA;9218;;
ANTONIO RICAURTE;9219;;
MAICIRA;9220;;
CASAS DE MOSCOPAN;9221;;
CANTARANA;9222;;
LOMITAS DE LA PAZ;9223;;
AVENIDA LA PLAYA;9225;;
CHAMBU II;9226;;
SANTA TERESA;9227;;
PALACE;9228;;
PINAR II;9229;;
EL BOLITO;9230;;
IGNACIO TORRES;9232;;
LOS BALCONES;9233;;
CORAZON DE JESUS;9234;;
COLOMBIANA;9235;;
PINOS DEL NORTE;9237;;
PEREZ;9238;;
LA LADERA;9240;;
EL MIRADOR;9241;;
LA POLA;9242;;
INGENIO MAYAGöEZ;9245;;
PANCHINITA;9247;;
SIRACUSA;9249;;
PORTALES DE NIZA;9251;;
EL DEAN BAJO;9258;;
LA ARBOLEDA;9259;;
JUAN PABLO II;9260;;
RICARDO HOLGUIN;9261;;
EL PILAR;9263;;
VILLAGUERRERO;9265;;
ASVIDE;9266;;
ALFAGUARA;9267;;
NIZA II;9271;;
CHILE;9273;;
PEKIN;9274;;
MERCEDES DEL NORTE;9276;;
LA COLINA;9277;;
CAPUSIGRA;9278;;
LA AURORA;9283;;
SANTIAGO;9284;;
LAS CUADRAS;9285;;
BERNAL;9287;;
AVENIDA SANTANDER;9289;;
SENDOYA;9290;;
EL MANZANO;9291;;
CIUDAD BERNA;9292;;
GUADUALES;9296;;
LA PORFIA;9297;;
URBANIZACION EL BOSQUE;9298;;
LA PLATA;9300;;
SAN AGUSTIN;9304;;
LA FRANCIA;9306;;
MARIDIAZ;9310;;
MIJITALLO;9313;;
MADRIGAL II;9314;;
UNIVERSITARIO;9315;;
ARNULFO GUERRERO;9318;;
VILLA FLOR I;9319;;
SAN JUAN DE DIOS;9320;;
BACHUE;9321;;
LA ESCALA;9322;;
BAVARIA;9323;;
ZARZAMORA;9324;;
PATIO BONITO;9325;;
CIUDAD JARDIN;9326;;
SOTOMAYOR;9327;;
MARIA OCCIDENTE;9328;;
CAMPAMENTO;9329;;
ARRAYAN;9330;;
VILLA DEL NORTE;9332;;
BELEN ALIADAS;9333;;
TRINIDAD;9334;;
HUMBERTO GONZALEZ;9335;;
FUNDADORES;9336;;
EL ALTILLO;9338;;
SAN ROQUE;9339;;
SAMARIA;9340;;
TOPACIO;9342;;
VILLA DEL ROSARIO;9344;;
LINARES;9345;;
SAN FELIPE;9346;;
FRANCISCO VILLOTA;9348;;
ESMERALDA;9350;;
OCCIDENTAL;9351;;
EL HOGAR;9356;;
CARLOS LLERAS;9357;;
VILLARECREO;9368;;
LA VEINTE;9369;;
ALIANZA;9370;;
ESPERANZA;9371;;
SUAREZ;9373;;
VENECIA;9374;;
LAS TRES MARGARITAS;9376;;
BOSA CARBONELL;9377;;
RECONSTRUCCION;9378;;
PALERMO;9380;;
MERCEDARIO;9384;;
CALLE DEL COMERCIO;9388;;
PLAZA VIEJA;9389;;
LA ESPA—OLA;9390;;
SUBA COMPARTIR;9391;;
LAS FLORES;9392;;
LOS CHILCOS;9393;;
VALLADOLID;9394;;
LAS TERMITAS;9395;;
PLAZAS VERDES;9396;;
CALLE ANTIOQUIA;9398;;
TOTORAL;9399;;
PUERTO ISAACS;9401;;
URBANIZACION LA CAMPI—A;9402;;
QUINTA PAREDES;9403;;
EL CEMENTERIO;9405;;
AIDA LUCIA;9407;;
CASTELVI;9408;;
LA VILLA;9411;;
ANDRES CORDOBA;9412;;
CIUDADELA COLPUERTOS;9414;;
EL NORTE;9416;;
CARLOS ALBERTO GUZMAN;9418;;
LA MINGA;9421;;
EL RAICERO;9422;;
LOS ESTUDIANTES;9425;;
CARLOS HOLGUIN;9428;;
SUR;9432;;
SUSANA LOPEZ;9438;;
RINCON COLONIAL;9443;;
COLINAS;9444;;
URB MIRAMAR;9445;;
VILLA ALEJANDRIA;9449;;
NOGALES;9450;;
INMACULADA;9451;;
SANTA TERECITA;9452;;
CHAMPAGNAT;9453;;
TOMAS CIPRIANO;9454;;
EL REY;9455;;
BOSTON;9457;;
LOS PRADOS;9459;;
CENTRO;9460;;
LA CAPILLA;9461;;
HUASIPANGA;9462;;
ROSA LINDA;9464;;
EL CINCUENTENARIO;9465;;
SAN SILVESTRE;9467;;
EMPORIO;9468;;
PARQUE INFANTIL;9469;;
COCICOIMPA;9471;;
CALAMARES;9472;;
QUIROGA;9473;;
PABLO VI;9475;;
LLORENTE;9476;;
PUENTE PRIMAVERA;9478;;
LOS MANDARINOS;9480;;
LOS COMUNEROS;9482;;
JOSE ILARIO LOPEZ;9484;;
SCHUMACHER;9487;;
SAN ANDRES;9488;;
LIBERTADOR;9489;;
EL OASIS;9491;;
PAN DE AZUCAR BAJO;9493;;
SAN PEDRO ALEJANDRINO;9495;;
AVENIDA BOYACA;9497;;
AQUINE;9498;;
LOS OLIVOS;9502;;
PIZARRO;9503;;
CRISTO REY;9509;;
LAS PALMERAS;9511;;
SAN DIEGO;9512;;
ALICANTE;9513;;
PRADERAS DEL NORTE;9515;;
RICAUTE;9516;;
NARANJAL;9517;;
CHINAYACO;9518;;
CORNELIO REYES;9519;;
3 DE MARZO;9521;;
LA GRANJA;9523;;
AMAZONIA;9524;;
GAVIOTAS;9526;;
LA ESTACION;9527;;
TERRONAL;9529;;
LAS VILLAS;9530;;
CARLOS PIZARRO;9531;;
ZONA MINERA;9534;;
SAN MIGUEL;9535;;
RINCON SANTA CECILIA;9537;;
NUEVO SOL;9538;;
LA PLAZA;9540;;
TIMIZA;9541;;
JOSE MARIA HERNANDEZ;9544;;
CASTILLOS DEL NORTE;9545;;
PUENES;9546;;
EL TUNAL;9548;;
EL MIRTO;9549;;
SAN MARTIN;9551;;
PASEO BOLIVAR;9552;;
LIMEDEC;9553;;
JAVERIANO;9554;;
VILLAS DEL SOL;9555;;
PANORAMA II;9573;;
CACHIPAY POBLADO;9574;;
GUALCALA;9576;;
PASO GRANDE;9577;;
AURORA;9578;;
LA CABA—A;9579;;
ROBLEDO;9581;;
RAPISUR;9584;;
QUINCHE;9585;;
LA ARGENTINA;9588;;
CACIQUE JACINTO;9589;;
ATAHUALPA;9590;;
AGUA AZUL;9591;;
CAMPO BELLO;9592;;
MONTEBELLO;9596;;
VILLA CAMPANELLA;9597;;
EL PARAMO;9598;;
CONSOLATA;9599;;
PUERTO LUZ;9600;;
EL OBRERO;9601;;
LA PALMA;9604;;
JARDIN DEL NORTE;9607;;
VILLA UNION;9608;;
QUINAMAYOR;9611;;
PARQUE BOLIVAR;9612;;
JOSE MARIA OBANDO;9615;;
LA COLOMBIANA;9616;;
SAN MARCOS;9618;;
ALTO LIMONAR;9628;;
EL SOL;9629;;
LUIS IGNACIO ANDRADE;9631;;
LAGOS;9633;;
TUNJUELITO;9635;;
AVENIDA IPIALES;9637;;
PALMAS;9639;;
CENTRONARI—O;9640;;
DEL MONTE;9642;;
COLON;9643;;
INGENIO RIOPAILA;9646;;
IV CENTENARIO;9647;;
EL ESPINAL;9648;;
URBANIZACION SAGI;9652;;
CANADA;9654;;
ALFONSO BOTERO;9657;;
LA ESTRELLA;9658;;
VILLA JAZMIN;9659;;
CALLEJON EL ENCANTO;9661;;
ROSABLANCA;9662;;
LA CRISTALINA;9663;;
MARCELLA;9664;;
QUEBRADA SECA;9667;;
CANTON NORTE;9668;;
OSPINA PEREZ;9669;;
LOS SAMANES;9670;;
EL SOCORRO;9671;;
BAJO FIRME;9672;;
EL MILAGRO;9673;;
EL ALCAZAR;9677;;
PUEBLITO VALLUNO;9679;;
VALENCIA;9680;;
CLUB DE LEONES;9682;;
VICTORIA NORTE;9683;;
LA JAGUA;9684;;
FUCHA;9686;;
VILLAHERMOSA;9687;;
INGENIO PICHICHI;9689;;
HACIENDA MERCED-AURORA;9690;;
EL PINO;9693;;
NESTLE;9695;;
COSTA RICA;9698;;
CAICEDO;9699;;
EL SAMAN;9702;;
LA MILAGROSA;9703;;
AVENIDA LA PLANTA;9706;;
VILLANUBIA;9708;;
GUATAPURI;9710;;
EL ESTADIO;9711;;
LA MAGNOLIA;9712;;
SANTA HELENA;9715;;
CALLE MOSQUERA;9718;;
LAS AURAS;9722;;
EL COMERCIO;9723;;
GAITAN;9729;;
SANTA ISABEL 2 ETAPA;9730;;
ASPRODICA;9731;;
LOS ALMENDROS;9732;;
ALGARROBO;9733;;
COMERCIO;9736;;
los cristales;9737;;
DOCE DE ABRIL;9739;;
CEILAN;9740;;
PANDIGUANDO;9741;;
LAS MARGARITAS;9743;;
EL SURCO;9744;;
TRES ESQUINAS;9745;;
CENTINELLA;9748;;
CAFETERO;9749;;
URBANIZACION LA ISABELA;9750;;
URBANIZACION VILLA ROSALBA;9756;;
MIRAMAR;9757;;
LA CURVA;9758;;
GUABINERO;9759;;
CALLE ARGENTINA;9760;;
EL PARQUE;9763;;
ORIENTE PEREZ;9764;;
VILLA MARINA;9766;;
PASO LA MARIA;9768;;
REFUGIO DEL SOL;9769;;
ALFONSO CAICEDO ROA;9771;;
MANUEL JOSE RAMIREZ;9774;;
POBLADO ROSARIO;9776;;
ALMENDROS;9780;;
NUEVA CREACION;9782;;
OVIEDO;9791;;
SAMANES;9792;;
ALTICO;9794;;
LAS CRUCES;9795;;
LA PRIMAVERA;9796;;
JARDIN;9797;;
SAHARA;9800;;
LA MARIA;9803;;
BENEDICTA;9804;;
NUEVO PRINCIPE;9808;;
SAN BERNABE;9812;;
LA PLANTA;9813;;
GUERRERO;9814;;
HERNANDO CAICEDO;9816;;
WALCOCHE;9817;;
LAS LAJAS;9820;;
ALCAZAR;9824;;
IPIRA;9826;;
BALSILLAS;9827;;
EUSTAQUIO PALACIOS;9829;;
LA GRAN VIA;9830;;
LA CRUZ;9833;;
SANTA CECILIA;9835;;
TRES DE MAYO;9836;;
CONCORDIA;9837;;
RAFAEL GONZALEZ;9839;;
EL;9841;;
AGUAZUL;9844;;
GAMMA;9847;;
LA CONCEPCION;9848;;
FLORALIA;9849;;
DIABLOS ROJOS;9850;;
FLORESTA II;9851;;
SOLARES DE LA MORADA;9852;;
EL MANANTIAL;9898;;
%PORTAL%;9900;;
BRISAS DE COLOYA;9906;;
ORITO;9907;;
QUINTAS DE BOLIVAR;9908;;
LA OLIVA;9911;;
GENERAL;9913;;
BRISAS DEL SAMAN;10003;;
DECEPAZ;10004;;
PUERTO TEJADA;10005;;
GRAMALOTE;10006;;
PUERTO CALDAS;10007;;
SAMAN;10008;;
ARRAYANES;10009;;
JOSE NOEL GIRALDO;10010;;
ALTOS DEL CASTILLO;10011;;
BELIZARIO CACEDO;10012;;
LA BUGUE—A;10013;;
PORTAL DE YUMBO;10014;;
%ALTOS%;10015;;
ALTOS DE GINEBRA;10016;;
VILLANOHEMY;10017;;
MAKUNAIMA;10018;;
NUEVA BASE;10019;;
EL LLANITO;10020;;
CALLE BOMBONA;10021;;
LA PILA;10022;;
CHIPRE;10023;;
EL FLORIDO;10024;;
CIUDAD REAL;10025;;
PETRUC;10026;;
ROCKHOLE;10027;;
JUAN DE AMPUDIA;10028;;
LA CABAÒA;10029;;
AVENIDA COLOMBIA;10030;;
POBLADO DOS;10031;;
JULIAN BUCHELLY;10032;;
VILLALINDA;10033;;
CIUDADELA 20 DE JULIO;10034;;
URBANIZACION CORAL;10035;;
BOMBEROS;10036;;
RINCON DE COMFANDI;10037;;
URBANIZACION SOTARA;10038;;
GALERIA;10039;;
VILLA CORELCA;10040;;
BRISAS DE COMUNEROS;10041;;
ANZOATEGUI;10042;;
LOS CEREZOS;10043;;
URBANIZACION BARRANQUILLA;10044;;
SANTA MARGARITA;10045;;
EL FUTURO;10046;;
MORALES DUQUI;10047;;
VEREDA DE LOS LAURELES;10048;;
LA UNION VICTORIA;10049;;
MORTI—AL;10050;;
AVENIDA DE LOS ESTUDIANTES;10051;;
RINCON DEL PARAISO;10052;;
LOS LIDERES;10053;;
SAGRADA FAMILIA;10054;;
QUINTAS DEL PALMAR;10055;;
VILLA DEL PALMAR;10056;;
CASAS BLANCAS;10057;;
AMAGA;10058;;
CONDOMINIO SOLARES LA MORADA;10059;;
URBANIZACION CUNA DEL SOL;10060;;
BELMONTE;10061;;
VILLAEPAL;10062;;
YARIGUIEZ;10063;;
URBANIZACION LLANO GRANDE;10064;;
CAMELIAS II;10065;;
MONTELIBANO;10066;;
LA XIMENA;10067;;
PIEDRA DE BOLIVAR;10068;;
LOS MADEROS;10069;;
EL PIÒAL;10070;;
EL TRONCO;10071;;
YAPURA;10072;;
VILLA SALEM;10073;;
URCUSIQUE;10074;;
LA TERRAZA;10075;;
TACAMOCHO;10076;;
VILLA VERGEL;10077;;
PUEBLO JOVEN;10078;;
BOTERO O BYRNE;10079;;
CALOTO;10080;;
FAJARDO;10081;;
CALIXTO;10082;;
SILVIO VASQUEZ;10083;;
DOS PUENTES;10084;;
MORASURCO;10085;;
SAN BERNARDO;10086;;
